,Signals1,Signals3,Signals5,Signals7,Signals10,Signals15,Signals20,Signals25,Signals30
BBG002SPKTM9,0.0001520612857312511,0.0001542492757211607,0.00045183566709175357,0.00025906764292953804,0.0003185331605444402,0.00024663297999057024,0.00020296879850702665,0.000435455799000726,9.986032529745776e-05
BBG002STD0M2,0.00023485595211324828,0.0005057321806404987,0.0005515580578371918,0.00033451974015233143,0.0006109449419192281,0.0008863509522497584,0.0006692479661120278,0.000724667538134461,0.0011070048088388756
BBG002SSL321,0.00023907637957524476,0.00013362972150134865,0.0003991659078295747,0.0001558197689182601,0.0004669130100695692,0.0006934566004384148,0.0014944019562705166,0.0020094500958307143,0.001354153195489786
BBG008S63QC4,0.00022571637923680398,0.0002718469096041228,0.000256547419495798,7.09816930993849e-05,8.965856291062313e-05,0.00022471071399748373,0.00024477159743196687,0.0007174587722792348,0.0007492218819599375
BBG002SBDC81,0.0001459008556622214,8.085171823031717e-05,0.00030206794339002,0.00027501526105299057,0.0005918647335325394,5.612976776840031e-05,0.0004319717624890582,0.0006402231842589784,0.000296116299732341
BBG002S5SQJ5,0.00026609578838187253,0.00016459715997033523,0.00031913713202684274,0.00030322551903134634,0.0004818176900616755,0.00023025451367005522,0.0003168718642980102,0.0003793377171307279,0.0008121697077061988
BBG002SNY0Q8,0.0001304929846899201,0.0003306542788566484,0.0005134882883979116,0.0005662637283903788,0.0016960854398331254,0.0008259359793300266,0.00032716367330563705,0.0007363486125185879,0.0007444146907739532
BBG002SBLNP9,9.163806923641104e-05,0.00013282159894000123,0.00025599376450529407,0.0003882583913276599,0.0008696310009820303,0.0008690265768378436,0.0008897480174900901,0.00034937201096023947,0.0003341329788492946
BBG002SCTB48,2.305915119689115e-05,0.0001796613008983679,0.00018444735741835174,0.00040504918221607425,0.00013806716185841043,0.0011828736633169722,0.00015009439965816526,0.0003314756619691335,5.4198473768782145e-05
BBG002SBWVL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBG002SBL033,0.0002698283025952429,0.000431114025425074,0.00043503543798851976,0.0007254515731580167,0.0009418832017507546,0.0010907492614118397,0.001013899942480777,0.00035219212173178625,0.0006309776377278342
BBG002SJJ761,4.069322078687425e-05,8.191929763146094e-05,0.000340019682076625,0.00024302365352998112,0.0006643022284560546,0.0005058832195025116,0.00012194547248599209,0.00016995728488341657,0.00010482598192629837
BBG002TCNV85,0.00016696697333672795,0.0004624802044832148,6.04881496620092e-05,0.00023967393052592582,0.0002497244317731482,0.0007704662255759312,0.0001108164426247101,0.00015487991010910762,7.561129791069037e-05
BBG004Q3BWS3,8.164825491336033e-05,0.00014203076370528369,0.0003367108753521074,0.00048552769955780397,0.0002487292152986511,0.0002613056876908968,0.00023581469595299005,0.000812066771157745,0.0009653690291598992
BBG002S5SJ83,4.358019672707858e-05,4.766663112227391e-05,4.133222614205773e-05,4.70468689782758e-05,7.057562875610711e-05,8.125866060416096e-05,3.408059742662472e-05,1.447168686559492e-05,1.9869639632064148e-05
BBG005M4W9S0,0.00011528111626618289,0.00013811930131331268,0.00020254236948917095,0.0002651588786771535,0.0002844540950495999,0.0011741906922270503,0.0002801567395726335,0.0003953350304668021,5.944045593950851e-05
BBG002SMB8Z8,0.0003786253819001862,0.00018904785017874248,0.0007708436976829627,0.0008278357734037572,0.0006524211033430995,0.0009763712881258131,0.0005017729749238943,0.0002431401377760209,0.00017387855099607532
BBG004Q3BYB7,6.141455569080872e-05,7.685131844065222e-05,0.0002074577576227084,6.937473452784097e-05,0.00019476393962669723,0.00015776137484543385,0.00032211555786404396,0.00028629151075641496,5.9794117592648676e-05
BBG002SJJ6X3,0.00023870014992868484,0.0002525370245276831,0.0004510671457596317,0.0007170562970954708,0.0007483546618402846,0.0010726666550594894,0.0013816027769767635,0.0016858201587525439,0.0015806070785031746
BBG004Q3BQC3,0.00018208324217681445,0.0003392214747276078,0.0004498399995984039,0.00023052127039314692,0.0005328026267056065,0.0007315601534010058,0.0008881679468733115,0.0009608924941707392,0.0008397218144601423
BBG002SBLM80,0.0001617141705881935,0.00018998323828635423,0.0002618530069112009,0.00021311172692518098,0.00030125936524080864,0.0005618874431150655,0.0001929742305162601,0.000178943517597803,0.0003759251488252843
BBG00BSF15Q0,0.00014046617751870187,0.0003201847604290567,0.0005879307927724878,0.000616325689779548,0.0009685916291617006,0.0011415428046692726,0.0007186745839766992,0.0019715427705093045,0.0010610877896879965
BBG00HD40829,0.0003226926338726755,0.0003086365638759766,0.00013701954651167746,0.0010915814525827901,0.0005617252340014981,0.0007301521584411408,0.0006696017863866365,0.0006493029697093824,0.0005327719195720708
BBG005M4PSD2,0.00010869462440103668,4.733635823052361e-05,8.354031327184534e-05,0.0002501590987550651,0.00011038708133222112,0.00015767163489789531,0.00024103295168354132,0.0001155253243846036,0.00017901069262674145
BBG005M7SG39,0.00016117172320175217,0.0002308442908536207,8.966450434173655e-05,0.00029111717413614666,0.00029667069181991507,0.0002723474262122931,0.0004374012399452218,0.00024372317794763254,0.0012854202315829642
BBG005M7SK85,0.0002205242836810033,0.00022637311645683537,0.0002405777178725769,0.0004295100285978018,0.0003987064931951122,0.00032494510974926305,0.0005828620281673765,0.001019453343744456,0.0002432838432647412
BBG002SBWTS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBG005M4PX23,0.00011043329870586827,4.968007051863e-05,9.724827351517106e-05,0.00032036043171132094,0.0005187676316598276,0.00042828514396927133,0.00025425497111303285,0.00015303640326929123,4.8569159247158715e-05
BBG008S63PV5,0.0001008244544487676,9.668823298542291e-05,0.0002484751452493884,0.00023354573514631328,0.00011014069145188562,6.149529194502156e-05,0.00026205310779869027,0.0004929069754282084,5.6717380605582694e-05
BBG002SPCHY1,0.00017493725360971313,0.00013840098811238784,0.00033194442843576796,0.000176424451751492,0.0013710307002193806,0.0011238978128897995,0.0017800044040923186,0.0006745059363055594,0.0010836275089047848
BBG002SCXMV9,0.00014612874123589044,0.00018834890085035587,0.00039736818729903684,0.00030285172710067316,0.0005059821207097707,0.0011069405909487685,0.0010382408879384417,0.0007627602549688168,0.0008502492939318159
BBG006M6QZW7,0.0002670443251107406,0.00032324898804152424,0.0002745082222336205,0.0007047557392785627,0.0004520101335222292,0.0005596752134563108,0.0007308214760012806,0.0005272534274287852,0.0009328751793775458
BBG005M7SSD2,3.913825673028984e-05,9.929892810527778e-05,9.759387968138478e-05,0.00017255062265880662,2.0766901467591327e-05,0.0002748036337619261,3.140636546414517e-05,0.0003480060199698645,4.74285314406194e-05
BBG005M4PVB7,1.4512168059267782e-05,7.698468318374624e-05,6.0445034661676525e-05,3.197502120153592e-05,1.4750391230992567e-05,2.0427660389257686e-05,2.0656362729940468e-05,1.3954974193808836e-05,8.131600102977833e-06
BBG005M7SP39,4.8672954370138396e-05,4.749187198819621e-05,0.00010622680605402157,4.218306538086197e-05,0.0001898316734731856,7.773017582663934e-05,3.909266289729197e-05,0.00021988708776036757,1.3335212748167538e-05
BBG002SPCNN0,0.0001710254105728379,0.00012790388449555905,0.00034765243981606605,0.00013356494646257904,0.00014448714097272462,0.0002063690864354075,0.0004825529128174091,0.00016216035777385664,8.856666522891777e-05
BBG005M4PVR0,4.5625978613285064e-05,6.525775701056865e-05,6.189476299280707e-05,0.0001537505742374874,6.268270131966736e-05,0.00010790629206107032,3.731847134795868e-05,0.00018129687466468444,7.83331081774241e-06
BBG005M7SN25,0.00021046280291640824,0.00015985376003411402,0.0006018909637393529,0.0002491018317313306,0.0004587815696936077,0.00029256470695612546,0.0008209541653971713,0.0005264578735234763,0.001209571713689351
BBG002T2MWG7,0.00018682610857665636,0.00041705267921505394,0.00018255559202132288,0.0002222658405238988,0.0004069902347322662,0.00019785490060901978,0.0006213542463573776,0.00035802595194020623,0.00128728226515049
BBG007W834Z1,0.00019784019938281393,0.00035738440610530545,0.00018771879145328067,0.0005117957305970175,0.0007126901468032205,0.0005359732485430777,0.0006742282235725244,0.0003707546641025733,0.0008987077403725826
BBG005M7SBF7,0.00015658210376394186,0.00012835682811063073,0.0001476962474627098,0.0001404769543374042,0.0003381903970202478,0.0004512834813237708,0.0009151152615337762,0.00024092726482736804,0.0003075239605880005
BBG002SBLNK4,0.00018323728328532588,0.00014708598101935817,0.00018788126633534065,0.00024887990959057503,0.00045679333914347474,0.0005370994077893957,0.0008354226657379805,0.002025880959792707,0.0006916173799204009
BBG005M7SRP1,5.772597452244255e-05,0.00018145613526942975,0.00011298908013433386,0.00021414868723956538,0.0001977226704065444,0.00021001310261208525,3.688154103901855e-05,0.0003964625801133894,0.00023065182849064367
